t_wall,t_sim,scenario_name,control_source,control_mode,external_found,drone_found,ext_red_u,ext_red_v,ext_blue_u,ext_blue_v,drone_red_u,drone_red_v,ex_px,ev_px,cmd_vx,cmd_vy,cmd_vz,cmd_yaw_rate,cmd_frame,cmd_valid,uav_x,uav_y,uav_z,platform_x,platform_y,platform_z,world_ex,world_ey,world_sep
1.339447259902954,0.0,fast,drone,tracking,1,1,520.6651549508692,299.49107142857144,399.5,299.5,729.4327326352246,299.4975850312525,329.4327326352246,-0.5024149687474733,1.5,0.010048299374949466,0.0,0.0,world_xy,1,0.0,0.0,1.5,1.0,0.0,0.25,1.0,0.0,1.0
1.4404444694519043,0.01,fast,drone,tracking,1,1,520.6378968253969,298.24102418745275,402.0,299.5,726.5318273131918,296.1186368351256,326.5318273131918,-3.881363164874415,1.5,0.047216729532345826,0.0,0.0,world_xy,1,0.015,0.00010048299374949466,1.5,0.9999500004166653,0.009999833334166664,0.25,0.9849500004166653,0.00989935034041717,0.9849997464253233
1.5437586307525635,0.02,fast,drone,tracking,1,1,520.6140425531914,297.0553191489362,404.0,299.0,723.4546277871319,292.8373705291086,323.4546277871319,-7.162629470891375,1.5,0.10003645246936074,0.0,0.0,world_xy,1,0.03,0.0005726502890729529,1.5,0.9998000066665778,0.01999866669333308,0.25,0.9698000066665777,0.019426016404260126,0.9699945479454165
1.673126459121704,0.03,fast,drone,tracking,1,1,520.5803064699205,295.9162883087401,406.00765347663247,299.00765347663247,720.2053371624646,289.758976080362,320.2053371624646,-10.241023919637996,1.5,0.1576676667272303,0.0,0.0,world_xy,1,0.045,0.0015730148137665604,1.5,0.9995500337489875,0.02999550020249566,0.25,0.9545500337489875,0.028422485388729102,0.9549730910375777
1.8486182689666748,0.04,fast,drone,tracking,1,1,520.5187127870712,294.6944050656838,408.00765347663247,298.9923465233675,716.886083871046,286.86466649654284,316.886083871046,-13.135333503457161,1.5,0.21543911856528242,0.0,0.0,world_xy,1,0.06,0.0031496914810388633,1.5,0.9992001066609779,0.03998933418663416,0.25,0.9392001066609779,0.036839642705595296,0.9399223370186859
2.0948147773742676,0.05,fast,drone,tracking,1,1,520.4963141480011,293.40142708628673,410.5,299.0,713.2675378225869,284.2059193316768,313.26753782258686,-15.794080668323204,1.5,0.2706824907059323,0.0,0.0,world_xy,1,0.075,0.005304082666691688,1.5,0.9987502603949663,0.04997916927067833,0.25,0.9237502603949663,0.04467508660398664,0.9248299340650916
2.2881407737731934,0.06,fast,drone,tracking,1,1,520.4412014735052,292.17294795503915,412.9923465233675,298.00765347663247,709.3474305543343,281.6873699450765,309.3474305543343,-18.31263005492349,1.5,0.3232460514218279,0.0,0.0,world_xy,1,0.09,0.008010907573751011,1.5,0.9982005399352042,0.059964006479444595,0.25,0.9082005399352042,0.051953098905693586,0.9096853001035585
2.442272424697876,0.07,fast,drone,tracking,1,1,520.3559466363895,291.02597218279874,415.0,298.0,705.0926891135898,279.3941936828938,305.0926891135898,-20.605806317106214,1.5,0.37212459262799097,0.0,0.0,world_xy,1,0.105,0.01124336808796929,1.5,0.9975510002532796,0.06994284733753277,0.25,0.8925510002532796,0.05869947924956348,0.8944791316276193
2.589646100997925,0.08,fast,drone,tracking,1,1,520.2803287981859,289.8364984882842,417.00765347663247,297.00765347663247,700.0011904142757,277.2507902386029,300.0011904142757,-22.749209761397083,1.5,0.41769737405796387,0.0,0.0,world_xy,1,0.12,0.0149646140142492,1.5,0.9968017063026194,0.0799146939691727,0.25,0.8768017063026194,0.0649500799549235,0.8792040406306922
2.7556190490722656,0.09,fast,drone,tracking,1,1,520.0834990059642,288.60707185458676,419.0,297.0,694.2654465958051,275.315687536605,294.2654465958051,-24.684312463394974,1.5,0.45949125542342845,0.0,0.0,world_xy,1,0.135,0.01914158775482884,1.5,0.9959527330119943,0.08987854919801104,0.25,0.8609527330119943,0.0707369614431822,0.8638537643577393
